Order ID,Order Status,Return / Refund Status,Tracking Number,Shipping Option,Shipment Method,Estimated Ship Out Date,Ship Time,Order Creation Date,Order Paid Time,Parent SKU Reference No.,Product Name,SKU Reference No.,Variation Name,Original Price,Deal Price,Quantity,Product Subtotal,Seller Rebate,Seller Discount,Shopee Rebate,SKU Total Weight,No of product in order,Order Total Weight,Voucher Code,Seller Voucher,Seller Absorbed Coin Cashback,Shopee Voucher,Bundle Deal Indicator,Shopee Bundle Discount,Seller Bundle Discount,Shopee Coins Offset,Credit Card Discount Total,Total Amount,Buyer Paid Shipping Fee,Transaction Fee,Commission Fee,Service Fee,Grand Total,Estimated Shipping Fee,Username (Buyer),Remark from buyer,Order Complete Time,Note
20072487RM0H9A,Completed,,MY203813597963E,Standard Delivery,Dropoff,2020/7/28 17:47,2020/7/26 5:34,2020/7/24 17:47,2020/7/24 17:47,KT-D-1,Children's Shoes Children's Sandals Casual Shoes Beach Shoes Donald Duck Disney Cute Sandals Non-slip and Breathable Comfortable and Waterproof,KT-D-1_??_28/29,"pink,28/29",30,22.5,1,22.5,7.5,7.5,0,0.3,1,0.3,LUCAA,1,0,0,N,0,0,0,0,28.5,6,0.55,0,0,27.5,6,ginhoo87,,2020/8/6 17:17,
200729MR20GM57,Completed,,MY2009500876012,Standard Delivery,Dropoff,2020/7/31 17:11,2020/7/31 14:09,2020/7/29 17:10,2020/7/29 17:11,KT-????A6-9,Kid's Shoes Summer Sandals Children's Shoes Boys Shoes Cartoon Shoes Non-slip Beach Shoes kids slipper Captain America Spider Man Batman,KT-????A6-9_?-???_28,"red,28",48,27.5,1,27.5,23.5,23.5,0,0.3,1,0.3,LUCAA,1,0,0,N,0,0,0,0,33.5,6,0.65,0,0,32.5,6,anitaawie,,2020/8/17 7:35,
200729N3VAW1P5,Completed,,MY2096082849230,Standard Delivery,Dropoff,2020/7/31 20:43,2020/7/31 14:09,2020/7/29 20:42,2020/7/29 20:43,KT-??B26,Kids Shoes Children's Casual Shoes Mesh Breathable Stitching Velcro Fashion Shoes Soft and Light,KT-??B26_??_22,"green,22",30,21,1,21,9,9,0,0.3,4,1.2,LUCAB,5,0,0,N,0,0,0,0,103.9,10.4,1.98,0,0,98.9,10.4,babycassie19519,,2020/8/7 12:05,
200729N3VAW1P5,Completed,,MY2096082849230,Standard Delivery,Dropoff,2020/7/31 20:43,2020/7/31 14:09,2020/7/29 20:42,2020/7/29 20:43,KT-????A6-9,Kid's Shoes Summer Sandals Children's Shoes Boys Shoes Cartoon Shoes Non-slip Beach Shoes kids slipper Captain America Spider Man Batman,KT-????A6-9_?-??_29,"black-Mickey,29",48,27.5,2,55,47,47,0,0.6,4,1.2,LUCAB,5,0,0,N,0,0,0,0,103.9,10.4,1.98,0,0,98.9,10.4,babycassie19519,,2020/8/7 12:05,
200729N3VAW1P5,Completed,,MY2096082849230,Standard Delivery,Dropoff,2020/7/31 20:43,2020/7/31 14:09,2020/7/29 20:42,2020/7/29 20:43,KT-??B-2,Kids Shoes Children's Canvas Shoes Fashion Casual Shoes for Boys and Girls Comfortable and Non-slip,KT-??B-2_??_27,"red,27",25,17.5,1,17.5,7.5,7.5,0,0.3,4,1.2,LUCAB,5,0,0,N,0,0,0,0,103.9,10.4,1.98,0,0,98.9,10.4,babycassie19519,,2020/8/7 12:05,
200731RM4RP9UG,Completed,,MY202358848568Z,Standard Delivery,Dropoff,2020/8/4 18:05,2020/8/2 11:09,2020/7/31 6:11,2020/8/1 18:05,KT-????A6-9,Kid's Shoes Summer Sandals Children's Shoes Boys Shoes Cartoon Shoes Non-slip Beach Shoes kids slipper Captain America Spider Man Batman,KT-????A6-9_?-???_25,"blue-Clownfish,25",48,27.5,1,27.5,23.5,23.5,0,0.3,1,0.3,LUCAA,1,0,0,N,0,0,0,0,33.5,6,0.65,0,0.8,32.5,6,alesaarahmani,,2020/8/9 14:08,
200731S3XTH2MC,Completed,,MY200601907350B,Standard Delivery,Dropoff,2020/8/4 10:55,2020/8/1 10:39,2020/7/31 10:54,2020/7/31 10:55,KT-S05 ,Ready Stock Kids Shoes Mesh Breathable Casual Shoes For Boys and Girls,KT-S05,"yellow,27",42.7,29.9,2,59.8,25.6,25.6,0,0.6,6,1.8,,0,0,0,N,0,0,0,0,164.2,14.8,3.28,0,4.48,164.2,14.8,lfchen0811,,2020/8/8 12:16,
200731S3XTH2MC,Completed,,MY200601907350B,Standard Delivery,Dropoff,2020/8/4 10:55,2020/8/1 10:39,2020/7/31 10:54,2020/7/31 10:55,KT-???2115,Ready Stock Kids Shoes Kids Fashion Canvas Shoes Mickey Mouse 2 Color Velcro Shoes,KT-???2115_??_33,"black,33",34,23.8,2,47.6,23.2,23.2,0,0.6,6,1.8,,0,0,0,N,0,0,0,0,164.2,14.8,3.28,0,4.48,164.2,14.8,lfchen0811,,2020/8/8 12:16,
200731S3XTH2MC,Completed,,MY200601907350B,Standard Delivery,Dropoff,2020/8/4 10:55,2020/8/1 10:39,2020/7/31 10:54,2020/7/31 10:55,KT-???2088,Ready Stock Kids Shoes Breathable Casual Shoes Velcro Fashion Non-slip Sneakers 3 Colors,KT-???2088_??_21,"grey,21",30,21,2,42,18,18,0,0.6,6,1.8,,0,0,0,N,0,0,0,0,164.2,14.8,3.28,0,4.48,164.2,14.8,lfchen0811,,2020/8/8 12:16,
200731SGEGCM9E,Completed,,MY2040854365167,Standard Delivery,Dropoff,2020/8/4 14:37,2020/8/1 10:39,2020/7/31 14:37,2020/7/31 14:37,KT-????A6-9,Kid's Shoes Summer Sandals Children's Shoes Boys Shoes Cartoon Shoes Non-slip Beach Shoes kids slipper Captain America Spider Man Batman,KT-????A6-9_?-???_29,"blue-Clownfish,29",48,27.5,1,27.5,23.5,23.5,0,0.3,1,0.3,LUCAA;FSV-55975487,1,0,0,N,0,0,0,0,27.5,0,0.53,0,0.8,26.5,6,kellyng0728,,2020/8/8 15:39,
